mc,bm
特指器官、系统和组织标本异常所见，异常组织学所见,R89.700
特指器官、系统和组织标本异常所见，特指异常所见,R89.800
特指器官、系统和组织标本异常所见,R89.900
颅内占位性病变,R90.000
中枢神经系统诊断性影像检查特指异常所见,R90.800
脑超声波图异常,R90.801
鞍区病变,R90.802
脑缺血灶,R90.803
脑软化灶,R90.804
垂体柄增粗,R90.805
肺部阴影,R91.x00
肺钱币形损害,R91.x01
肺肿物,R91.x02
肺占位性病变,R91.x03
乳房诊断性影像检查异常所见,R92.x00
颅骨和头诊断性影像检查异常所见,R93.000
心脏诊断性影像检查异常所见,R93.100
超声心动图异常,R93.101
冠状循环诊断性影像检查异常所见,R93.102
主动脉占位性病变,R93.103
肝和胆道影像检查异常,R93.200
肝钙化灶,R93.201
肝回声不均,R93.202
肝占位性病变,R93.203
胆囊占位性病变,R93.204
胆管占位性病变,R93.205
消化道特指部位诊断性影像检查异常所见,R93.300
胰腺影像检查异常,R93.301
胰腺占位性病变,R93.302
泌尿器官诊断性影像检查异常所见,R93.400
肾超声检查异常,R93.401
肾动脉走行异常,R93.402
肾占位性病变,R93.403
输尿管占位性病变,R93.404
特指腹部区域诊断性影像检查异常所见,R93.500
肾上腺增粗,R93.501
肢体诊断性影像检查异常所见,R93.600
肌肉骨骼系统特指部位诊断性影像检查异常所见,R93.700
特指身体结构诊断性影像检查异常所见,R93.800
胸腔占位性病变,R93.801
前列腺钙化灶,R93.802
子宫内膜增厚,R93.803
纵隔移位,R93.804
纵隔阴影,R93.805
中枢神经系统功能检查异常结果,R94.000
脑电图异常,R94.001
周围神经系统检查异常结果,R94.100
视觉激发电图异常,R94.101
特殊感觉功能检查异常结果,R94.102
神经刺激反应异常,R94.103
肌电图异常,R94.104
眼电图异常,R94.105
视网膜电图异常,R94.106
肺功能检查异常结果,R94.200
通气功能障碍,R94.201
中枢性低通气,R94.202
上气道阻力综合征,R94.203
肺活量减低,R94.204
心血管功能检查异常结果,R94.300
复极综合征,R94.301
Q-T间期延长综合征,R94.302
心电图异常,R94.303
RR间期延长,R94.304
心音图异常,R94.305
心电向量图异常,R94.306
电生理学检查异常,R94.307
肾功能异常,R94.400
肾小球滤过率下降,R94.401
血肌酐升高,R94.402
肝功能异常,R94.500
甲状腺功能异常,R94.600
特指内分泌功能检查异常结果,R94.700
特指器官和系统功能检查异常结果,R94.800
基础代谢率异常,R94.801
逼尿肌内减弱,R94.802
膀胱功能检查异常,R94.803
婴儿猝死综合征,R95.x00
猝死,R96.000
死亡发生于症状起始后24小时以内,R96.100
无人在场死亡,R98.x00
特指原因不明确死亡,R99.x00
死亡,R99.x01
头皮浅表损伤,S00.000
头皮挫伤,S00.001
头皮擦伤,S00.002
头皮异物,S00.003
头皮血肿,S00.004
眼睑挫伤,S00.100
眼周区挫伤,S00.101
额部血肿,S00.102
眼睑和眼周区特指浅表损伤,S00.200
眶区浅表损伤,S00.201
眼睑血肿,S00.202
鼻挫伤,S00.300
鼻浅表损伤,S00.301
鼻血肿,S00.302
耳浅表损伤,S00.400
耳廓挫伤,S00.401
耳廓血肿,S00.402
鼓室挫伤,S00.403
鼓膜挫伤,S00.404
唇浅表损伤,S00.500
口腔浅表损伤,S00.501
头部多处浅表损伤,S00.700
头部特指部位浅表损伤,S00.800
面部软组织挫伤,S00.801
面部擦伤,S00.802
面部挫伤,S00.803
面部浅表异物,S00.804
头部浅表损伤,S00.900
头皮开放性伤口,S01.000
头皮裂伤,S01.001
眼睑和眼周区开放性伤口,S01.100
眼睑裂伤,S01.101
开放性眼睑异物,S01.102
眶部裂伤,S01.103
开放性鼻部损伤,S01.200
开放性耳廓损伤,S01.300
开放性外耳道损伤,S01.301
开放性耳后损伤伴异物,S01.302
开放性颊部损伤,S01.400
开放性颞下颌损伤,S01.401
口腔开放性伤口,S01.500
舌裂伤,S01.501
开放性舌部损伤,S01.502
牙龈裂伤,S01.503
开放性唇部损伤,S01.504
软腭穿通伤,S01.505
唇裂伤,S01.506
开放性多处头部损伤,S01.700
头部特指部位开放性损伤,S01.800
开放性颅内异物,S01.801
面部裂伤,S01.802
开放性面部损伤,S01.803
开放性腮腺管断裂,S01.804
开放性头部损伤,S01.900
颅骨穹窿骨折,S02.000
额骨骨折,S02.001
顶骨骨折,S02.002
开放性额骨骨折,S02.011
开放性顶骨骨折,S02.012
颅底骨折,S02.100
枕骨骨折,S02.101
颞骨骨折,S02.102
筛窦骨折,S02.103
开放性颅底骨骨折,S02.111
开放性枕骨骨折,S02.112
开放性颞骨骨折,S02.113
开放性筛窦骨折,S02.114
鼻骨骨折,S02.200
开放性鼻骨骨折,S02.211
眶底骨折,S02.300
开放性眶底骨折,S02.311
上颌骨骨折,S02.400
颧骨骨折,S02.401
开放性上颌骨骨折,S02.411
开放性颧骨骨折,S02.412
创伤性牙折断,S02.500
创伤性牙齿脱落,S02.501
下颌骨骨折,S02.600
开放性下颌骨骨折,S02.611
多发性颅骨骨折,S02.700
多发性面骨骨折,S02.701
开放性多发性面骨骨折,S02.711
开放性多发性颅骨骨折,S02.712
特指颅骨和面骨骨折,S02.800
眶骨骨折,S02.801
牙槽骨骨折,S02.802
腭骨折,S02.803
特指开放性颅骨和面骨骨折,S02.810
开放性眶骨骨折,S02.811
开放性牙槽骨骨折,S02.812
开放性腭骨折,S02.813
颅骨骨折,S02.900
面骨骨折,S02.901
开放性颅骨骨折,S02.911
开放性面骨骨折,S02.912
颞下颌关节脱位,S03.000
鼻中隔软骨脱位,S03.100
牙脱位,S03.200
头部特指部位脱位,S03.300
头部脱位,S03.301
颞下颌关节扭伤和劳损,S03.400
头部特指关节和韧带扭伤和劳损,S03.500
头部关节和韧带扭伤和劳损,S03.501
视神经损伤,S04.000
动眼神经损伤,S04.100
滑车神经损伤,S04.200
三叉神经损伤,S04.300
外展神经损伤,S04.400
面神经损伤,S04.500
面神经断裂,S04.501
眶下神经损伤,S04.502
听神经损伤,S04.600
副神经损伤,S04.700
特指脑神经损伤,S04.800
舌下神经损伤,S04.801
嗅神经损伤,S04.802
舌咽神经损伤,S04.803
迷走神经损伤,S04.804
脑神经损伤,S04.900
结膜裂伤,S05.000
角膜擦伤,S05.001
角膜磨损,S05.002
眼球挫伤,S05.100
眼眶挫伤,S05.101
创伤性前房积血,S05.102
晶状体挫伤,S05.103
巩膜挫伤,S05.104
眼球穿通伤伴虹膜缺损,S05.200
角膜穿通伤伴虹膜嵌顿,S05.201
角膜穿通伤伴虹膜脱垂,S05.202
角膜穿通伤伴晶状体嵌顿,S05.203
角膜穿通伤伴玻璃体嵌顿,S05.204
创伤性虹膜脱垂,S05.205
创伤性虹膜嵌顿,S05.206
创伤性虹膜疝,S05.207
创伤性睫状体脱垂,S05.208
创伤性玻璃体脱垂,S05.209
创伤性玻璃体疝,S05.210
眼球破裂,S05.300
角膜裂伤,S05.301
角膜全层裂伤,S05.302
虹膜裂伤,S05.303
巩膜裂伤,S05.304
睫状体裂伤,S05.305
创伤性眶内异物,S05.400
眶穿通伤,S05.401
眼球穿通伤伴异物,S05.500
眼球穿通伤,S05.600
角膜穿通伤,S05.601
虹膜穿通伤,S05.602
晶状体穿通伤,S05.603
巩膜穿通伤,S05.604
视网膜穿通伤,S05.605
眼撕脱伤,S05.700
眼和眶特指损伤,S05.800
眼震荡,S05.801
眼挫伤,S05.802
角膜损伤,S05.803
虹膜损伤,S05.804
晶状体损伤,S05.805
创伤性晶状体脱位,S05.806
巩膜损伤,S05.807
视网膜震荡,S05.808
视网膜损伤,S05.809
泪小管裂伤,S05.810
泪管损伤,S05.811
冲击波性失明,S05.812
开放性眼部损伤,S05.900
眼损伤,S05.901
创伤性失明,S05.902
玻璃体损伤,S05.903
脑震荡,S06.000
创伤性大脑水肿,S06.100
弥漫性脑损伤,S06.200
脑干挫伤,S06.201
脑挫伤,S06.202
大脑撕裂伤,S06.203
创伤性脑疝,S06.204
创伤性脑受压,S06.205
弥漫性轴索损伤,S06.206
开放性脑挫伤,S06.211
局灶性脑损伤,S06.300
创伤性脑局灶出血,S06.301
创伤性脑血肿,S06.302
开放性局灶性脑损伤,S06.310
创伤性硬膜外出血,S06.400
开放性硬膜外出血,S06.410
创伤性硬膜下出血,S06.500
创伤性慢性硬膜下血肿,S06.501
创伤性急性硬膜下出血,S06.502
开放性硬膜下出血,S06.510
创伤性蛛网膜下腔出血,S06.600
开放性蛛网膜下腔出血,S06.610
颅内损伤伴长时间昏迷,S06.700
开放性颅内损伤伴长时间昏迷,S06.710
特指颅内损伤,S06.800
创伤性小脑出血,S06.801
创伤性脑出血,S06.802
创伤性脑干出血,S06.803
创伤性颅内出血,S06.804
开放性脑出血,S06.811
开放性脑干出血,S06.812
开放性小脑出血,S06.813
开放性颅内出血,S06.814
颅内损伤,S06.900
脑干损伤,S06.901
创伤性颅内海绵窦损伤,S06.902
开放性颅内损伤,S06.910
开放性脑干损伤,S06.911
开放性颅内海绵窦损伤,S06.912
面部挤压伤,S07.000
颅骨挤压伤,S07.100
头部特指部位挤压伤,S07.800
头部挤压伤,S07.900
头皮撕脱,S08.000
耳创伤性切断,S08.100
头部特指部位创伤性切断,S08.800
创伤性鼻切断,S08.801
创伤性头部分切断,S08.900
头部血管损伤,S09.000
头部肌肉损伤,S09.100
头部肌腱损伤,S09.101
创伤性鼓膜穿孔,S09.200
多发性头部损伤,S09.700
头部特指损伤,S09.800
创伤性鼻中隔血肿,S09.801
头部外伤,S09.900
面部损伤,S09.901
眉部损伤,S09.902
鼻损伤,S09.903
耳损伤,S09.904
耳廓损伤,S09.905
舌损伤,S09.906
唾液腺损伤,S09.907
咽喉挫伤,S10.000
喉挫伤,S10.001
声带挫伤,S10.002
咽喉浅表损伤,S10.100
咽血肿,S10.101
颈部多处浅表损伤,S10.700
颈部特指部位浅表损伤,S10.800
会厌浅表损伤,S10.801
颈部浅表损伤,S10.900
颈部挫伤,S10.901
颈部异物,S10.902
颈部开放性伤口累及喉和气管,S11.000
开放性气管损伤,S11.001
开放性喉损伤,S11.002
开放性颈部气管断裂,S11.003
喉气管贯通伤,S11.004
开放性甲状腺损伤,S11.100
颈部开放性伤口累及咽和颈部食管,S11.200
开放性咽部损伤,S11.201
开放性颈部食管损伤,S11.202
颈部多处开放性损伤,S11.700
颈部特指部位开放性损伤,S11.800
开放性颈部损伤,S11.900
第一颈椎骨折,S12.000
开放性第一颈椎骨折,S12.010
第二颈椎骨折,S12.100
开放性第二颈椎骨折,S12.110
特指颈椎骨折,S12.200
开放性特指颈椎骨折,S12.210
多发性颈椎骨折,S12.700
开放性多发性颈椎骨折,S12.710
颈部特指部位骨折,S12.800
喉软骨断裂,S12.801
甲状软骨断裂,S12.802
舌骨断裂,S12.803
环状软骨断裂,S12.804
气管软骨断裂,S12.805
开放性颈部特指部位骨折,S12.810
开放性喉软骨断裂,S12.811
开放性甲状软骨断裂,S12.812
开放性舌骨断裂,S12.813
开放性环状软骨断裂,S12.814
开放性气管软骨断裂,S12.815
颈椎骨折,S12.900
开放性颈椎骨折,S12.910
颈椎间盘创伤性破裂,S13.000
颈椎脱位,S13.100
颈椎半脱位,S13.101
寰枢椎半脱位,S13.102
寰枢椎脱位,S13.103
枢椎脱位,S13.104
颈部特指部位脱位,S13.200
颈部脱位,S13.201
环杓关节脱位,S13.202
环甲软骨关节脱位,S13.203
多发性颈部脱位,S13.300
颈椎扭伤和劳损,S13.400
挥鞭伤,S13.401
颈部韧带扭伤,S13.402
寰枢关节扭伤,S13.403
环甲关节扭伤,S13.500
甲状软骨扭伤,S13.501
环杓关节扭伤,S13.502
颈部特指部位扭伤,S13.600
颈部扭伤,S13.601
颈部脊髓震荡,S14.000
颈部脊髓水肿,S14.001
颈部脊髓特指损伤,S14.100
颈部脊髓损伤,S14.101
颈部脊神经根损伤,S14.200
臂丛神经损伤,S14.300
颈部周围神经损伤,S14.400
颈部交感神经损伤,S14.500
颈部特指神经损伤,S14.600
颈部神经损伤,S14.601
颈动脉损伤,S15.000
颈内动脉裂伤,S15.001
Hajdu-Cheney综合征,Q79.802
波伦综合征,Q79.803
先天性肌萎缩,Q79.804
先天性胸大肌缺如,Q79.805
先天性狭窄性腱鞘炎,Q79.806
肌肉骨骼系统先天性畸形,Q79.900
寻常性鱼鳞病,Q80.000
性连鱼鳞病,Q80.100
鱼鳞癣,Q80.200
片状层鱼鳞癣,Q80.201
先天性大疱性鱼鳞病样红皮病,Q80.300
斑色胎儿,Q80.400
特指先天性鱼鳞病,Q80.800
先天性鱼鳞病,Q80.900
单纯性大疱性表皮松解症,Q81.000
致死性大疱性表皮松解症,Q81.100
营养不良性大疱性表皮松解症,Q81.200
特指大疱性表皮松解症,Q81.800
大疱性表皮松解症,Q81.900
遗传性淋巴水肿,Q82.000
着色性干皮病,Q82.100
肥大细胞增多症,Q82.200
色素性荨麻疹,Q82.201
色素失调症,Q82.300
外胚层发育不良症,Q82.400
先天性非肿瘤性痣,Q82.500
单侧痣,Q82.501
粉刺样痣,Q82.502
葡萄酒色斑,Q82.503
葡萄酒色痣,Q82.504
胎记,Q82.505
血管痣,Q82.506
疣状表皮痣,Q82.507
疣状痣,Q82.508
皮肤特指先天性畸形,Q82.800
蓝色橡皮-疱痣综合征,Q82.801
良性家族性天疱疮,Q82.802
毛囊角化病,Q82.803
汗管角化症,Q82.804
疣状肢端角化症,Q82.805
遗传性掌跖角化症,Q82.806
先天性皮肤赘片,Q82.807
异常手掌皱褶,Q82.808
弹性组织瘤,Q82.809
弹性纤维假黄瘤,Q82.810
血管内血管瘤病,Q82.811
肺毛细血管瘤病,Q82.812
皮肤先天性畸形,Q82.900
先天性无乳房和乳头,Q83.000
副乳房,Q83.100
无乳头,Q83.200
副乳头,Q83.300
乳房特指先天性畸形,Q83.800
乳房异位,Q83.801
先天性乳头内陷,Q83.802
乳房发育不良,Q83.803
乳房先天性畸形,Q83.900
先天性秃发,Q84.000
先天性毛发形态障碍,Q84.100
先天性念珠状发,Q84.101
毛发特指先天性畸形,Q84.200
先天性多毛症,Q84.201
先天性眉畸形,Q84.202
甲缺如,Q84.300
先天性白甲,Q84.400
指[趾]甲增大和增生,Q84.500
先天性甲肥厚,Q84.501
指[趾]甲特指先天性畸形,Q84.600
先天性甲营养不良,Q84.601
体被特指先天性畸形,Q84.800
先天性皮肤发育不全,Q84.801
体被先天性畸形,Q84.900
非恶性神经纤维瘤病,Q85.000
冯·雷克林豪森病,Q85.001
结节性硬化症,Q85.100
特指斑痣性错构瘤病,Q85.800
Cronkhite-Canda综合征,Q85.801
波伊茨-耶格综合征,Q85.802
肠神经异形增生,Q85.803
冯.希佩尔－林道综合征,Q85.804
斯特奇－卡利舍－韦伯综合征,Q85.805
斑痣性错构瘤病,Q85.900
肺错构瘤,Q85.901
腹膜后错构瘤,Q85.902
肾错构瘤,Q85.903
支气管错构瘤,Q85.904
鼻错构瘤,Q85.905
胃错构瘤,Q85.906
脾错构瘤,Q85.907
胸膜错构瘤,Q85.908
错构瘤病,Q85.909
胎儿酒精综合征,Q86.000
胎儿乙内酰脲综合征,Q86.100
苄丙酮香豆素同质异形,Q86.200
外源性原因致特指先天性畸形综合征,Q86.800
影响面部外貌先天性畸形综合征,Q87.000
戈尔登哈尔综合征,Q87.001
马尔凯萨尼（－魏尔）综合征,Q87.002
皮-罗综合征,Q87.003
哨型面综合征,Q87.004
先天性隐眼综合征,Q87.005
眼-骨关节综合征,Q87.006
与身材矮小症有关先天性畸形综合征,Q87.100
德朗热综合征,Q87.101
杜博维茨综合征,Q87.102
科凯恩综合征,Q87.103
鲁塞尔-西尔弗综合征,Q87.104
努南综合征,Q87.105
普拉德-威利综合征,Q87.106
涉及四肢先天性畸形综合征,Q87.200
第一二腮弓发育不良,Q87.201
甲-髌综合征,Q87.202
克利佩尔－特脑纳－韦伯综合征,Q87.203
鲁宾斯坦-塔比综合征,Q87.204
涉及早期过度生长先天性畸形综合征,Q87.300
贝克威思-威德曼综合征,Q87.301
索托斯综合征,Q87.302
马方综合征,Q87.400
特指先天性畸形综合征伴特指骨改变,Q87.500
特指先天性畸形综合征,Q87.800
奥尔波特综合征,Q87.801
策尔韦格综合征,Q87.802
颈-眼-听神经综合征,Q87.803
劳伦斯－穆恩（－巴尔得）－别德尔综合征,Q87.804
类马方综合征,Q87.805
先天性歪嘴哭综合征,Q87.806
性幼稚-肥胖-多趾畸形综合征,Q87.807
隐睾-侏儒-低智能-肥胖综合征,Q87.808
脾先天性畸形,Q89.000
多囊脾,Q89.001
副脾,Q89.002
先天性脾大,Q89.003
先天性脾缺如,Q89.004
肾上腺先天性畸形,Q89.100
异位肾上腺,Q89.101
特指内分泌腺先天性畸形,Q89.200
垂体发育不良,Q89.201
异位垂体,Q89.202
异位甲状腺,Q89.203
副甲状腺,Q89.204
异位甲状旁腺,Q89.205
甲状舌管瘘,Q89.206
甲状舌管囊肿,Q89.207
异位胸腺,Q89.208
先天性胸腺囊肿,Q89.209
内脏反位,Q89.300
卡塔格内综合征,Q89.301
原发性纤毛运动障碍综合征,Q89.302
联体儿,Q89.400
多发性先天性畸形,Q89.700
特指先天性畸形,Q89.800
先天性淋巴管畸形,Q89.801
先天性畸形,Q89.900
离子通道病,Q89.901
三体性21减数分裂不分离,Q90.000
三体性21同源嵌合体,Q90.100
三体性21易位,Q90.200
唐氏综合征,Q90.900
三体性18减数分裂不分离,Q91.000
三体性18同源嵌合体,Q91.100
三体性18易位,Q91.200
爱德华兹综合征,Q91.300
三体性13减数分裂不分离,Q91.400
三体性13同源嵌合体,Q91.500
三体性13易位,Q91.600
帕套综合征,Q91.700
全染色体三体性减数分裂不分离,Q92.000
全染色体三体性同源嵌合体,Q92.100
大部分三体性,Q92.200
小部分三体性,Q92.300
仅出现于前中期的重复,Q92.400
伴特指复杂性重排重复,Q92.500
额外标记染色体,Q92.600
三倍体和多倍体,Q92.700
常染色体特指三体性和部分三体型,Q92.800
常染色体三体性和部分三体型,Q92.900
全染色体单体性减数分裂不分离,Q93.000
全染色体单体性同源嵌合体,Q93.100
环状染色体或双着丝粒染色体替换,Q93.200
染色体4短臂缺失,Q93.300
染色体5短臂缺失,Q93.400
猫叫综合征,Q93.401
染色体特指部分缺失,Q93.500
天使综合征,Q93.501
仅出现于前中期缺失,Q93.600
缺失伴特指复杂性重排,Q93.700
常染色体特指缺失,Q93.800
常染色体缺失,Q93.900
正常个体中平衡易位和插入,Q95.000
正常个体中染色体倒位,Q95.100
异常个体中平衡常染色体重排,Q95.200
异常个体中平衡性染色体或常染色体重排,Q95.300
具有标记异染色质个体,Q95.400
常染色体脆性位点个体,Q95.500
特指平衡重排和结构标记,Q95.800
平衡重排和结构标记,Q95.900
核型45X,Q96.000
核型46X同种Xq,Q96.100
核型46X伴异常性染色体除外同种Xq,Q96.200
同源嵌合体45X／46XX或XY,Q96.300
同源嵌合体45X／特指细胞系,Q96.400
特纳综合征特指变型,Q96.800
特纳综合征,Q96.900
男性性腺发育不全症,Q96.901
47XXX染色体异常,Q97.000
女性伴多于三个X染色体,Q97.100
同源嵌合体细胞系伴不同数量的X染色体,Q97.200
女性伴46XY核型,Q97.300
特指性染色体异常女性表型,Q97.800
性染色体异常女性表型,Q97.900
克兰费尔特综合征核型47XXY,Q98.000
克兰费尔特综合征，男性伴多于两个X染色体,Q98.100
克兰费尔特综合征男性伴46XX核型,Q98.200
特指男性伴46XX核型,Q98.300
克兰费尔特综合征,Q98.400
核型47XYY,Q98.500
男性伴结构异常性染色体,Q98.600
男性伴性染色体同源嵌合体,Q98.700
特指男性表型性染色体异常,Q98.800
男性表型性染色体异常,Q98.900
异源嵌合体46XX／46XY,Q99.000
性反转综合征,Q99.001
46XX真两性同体,Q99.100
单纯性性腺发育不全,Q99.101
单纯性性腺发育障碍症,Q99.102
脆性X综合征,Q99.200
特指染色体异常,Q99.800
性发育畸形,Q99.801
染色体异常,Q99.900
心动过速,R00.000
心动过缓,R00.100
心悸,R00.200
特指心脏搏动异常,R00.800
心脏搏动异常,R00.801
良性和无害心脏杂音,R01.000
心脏杂音,R01.100
特指心音,R01.200
坏疽,R02.x00
血压读数升高，无高血压诊断者,R03.000
应激性高血压,R03.001
非特异性低血压读数,R03.100
鼻出血,R04.000
咽喉出血,R04.100
咯血,R04.200
呼吸道特指部位出血,R04.800
鼻咽部出血,R04.801
肺出血,R04.802
呼吸道出血,R04.900
咳嗽,R05.x00
咳嗽晕厥综合征,R05.x01
呼吸困难,R06.000
喘鸣,R06.100
喘息,R06.200
周期性呼吸,R06.300
切恩-斯托克斯呼吸,R06.301
通气过度,R06.400
高碳酸血症,R06.401
口呼吸,R06.500
鼾症,R06.501
呃逆,R06.600
喷嚏,R06.700
特指呼吸异常,R06.800
屏气,R06.801
低通气综合征,R06.802
呼吸肌麻痹,R06.803
呼吸异常,R06.804
呼吸暂停,R06.805
咽痛,R07.000
呼吸时胸痛,R07.100
痛性呼吸,R07.101
心前区疼痛,R07.200
特指胸痛,R07.300
前壁胸痛,R07.301
胸痛,R07.400
窒息,R09.000
低张性低血氧症,R09.001
胸膜炎,R09.100
胆汁性胸膜炎,R09.101
呼吸停止,R09.200
心脏呼吸衰竭,R09.201
痰异常,R09.300
累及循环和呼吸系统特指症状和体征,R09.800
急腹症,R10.000
局限于上腹部疼痛,R10.100
上腹痛,R10.101
胃痛,R10.102
盆腔痛,R10.200
会阴痛,R10.201
局限于下腹部特指部位疼痛,R10.300
下腹痛,R10.301
腹痛,R10.400
肠绞痛,R10.401
恶心和呕吐,R11.x00
周期性呕吐,R11.x01
胃灼热,R12.x00
吞咽困难,R13.x00
胃气胀,R14.x00
大便失禁,R15.x00
肛门括约肌失禁,R15.x01
肝大,R16.000
脾大,R16.100
肝大伴脾大,R16.200
黄疸,R17.x00
感染性黄疸,R17.x01
腹水,R18.x00
膈下积液,R18.x01
腹腔内和盆腔的肿胀、肿物和肿块,R19.000
腹部肿物,R19.001
盆腔肿物,R19.002
脐肿物,R19.003
腹部肿胀,R19.004
肠鸣音异常,R19.100
可见性蠕动,R19.200
腹强直,R19.300
大便习惯改变,R19.400
特指大便异常,R19.500
便潜血,R19.501
口臭,R19.600
累及消化系统和腹部特指症状和体征,R19.800
皮肤感觉缺失,R20.000
皮肤感觉减退,R20.100
皮肤感觉异常,R20.200
蚁走感,R20.201
偏身感觉异常,R20.202
感觉过敏,R20.300
特指皮肤感觉障碍,R20.800
皮肤感觉障碍,R20.801
口周麻木,R20.802
肢体麻木,R20.803
皮疹,R21.x00
非特异性斑疹,R21.x01
头部局部肿胀、肿物和肿块,R22.000
头部局部肿物,R22.001
头皮肿物,R22.002
鼻部肿物,R22.003
颊部肿物,R22.004
面部肿物,R22.005
耳部肿物,R22.006
颈部局部肿胀、肿物和肿块,R22.100
颈部局部肿物,R22.101
躯干局部肿胀、肿物和肿块,R22.200
躯干局部肿物,R22.201
胸壁肿物,R22.202
腹壁肿物,R22.203
腹股沟肿物,R22.204
背部肿物,R22.205
骶尾部肿物,R22.206
臀部肿物,R22.207
上肢局部肿胀、肿物和肿块,R22.300
上肢局部肿物,R22.301
肩部肿物,R22.302
下肢局部肿胀、肿物和肿块,R22.400
下肢局部肿物,R22.401
髋部肿物,R22.402
多部位局部肿胀,R22.700
多部位局部肿物,R22.701
局部肿胀、肿物和肿块,R22.900
局部肿物,R22.901
皮下肿物,R22.902
皮肤肿物,R22.903
皮下结节,R22.904
发绀,R23.000
苍白,R23.100
网状青斑症,R23.101
发红,R23.200
自发性瘀斑,R23.300
皮下出血,R23.301
皮肤质地改变,R23.400
皮肤硬结,R23.401
特指皮肤改变,R23.800
皮肤改变,R23.801
异常头部运动,R25.000
发作性点头症,R25.001
震颤,R25.100
痛性痉挛和痉挛,R25.200
痛性肌痉挛,R25.201
肌束震颤,R25.300
特指异常不随意运动,R25.800
反射性发作,R25.801
手足徐动症,R25.802
异常不随意运动,R25.803
共济失调步态,R26.000
麻痹步态,R26.100
行走困难,R26.200
固态[不动],R26.300
卧床不起,R26.301
特指异常步态和移动,R26.800
异常步态和移动,R26.801
走路不稳,R26.802
共济失调,R27.000
特指协调缺乏,R27.800
协调缺乏,R27.801
手足搐搦,R29.000
假性脑膜炎,R29.100
异常反射,R29.200
异常姿势,R29.300
弹响髋,R29.400
跌倒倾向,R29.600
累及神经和肌肉骨骼特指系统症状和体征,R29.800
累及神经和肌肉骨骼系统症状和体征,R29.801
短暂性肢体麻痹,R29.802
短暂性单瘫,R29.803
排尿困难,R30.000
排尿里急后重,R30.100
痛性排尿,R30.900
血尿,R31.x00
尿失禁,R32.x00
遗尿,R32.x01
尿潴留,R33.x00
无尿,R34.x00
少尿,R34.x01
多尿,R35.x00
尿道排出物,R36.x00
尿道溢液,R36.x01
尿外渗,R39.000
特指排尿困难,R39.100
排尿踌躇,R39.101
肾外尿毒症,R39.200
累及泌尿系统特指症状和体征,R39.800
累及泌尿系统症状和体征,R39.801
嗜眠,R40.000
木僵,R40.100
昏迷,R40.200
意识丧失,R40.201
定向障碍,R41.000
意识错乱,R41.001
顺行性遗忘,R41.100
逆行性遗忘,R41.200
遗忘症,R41.300
累及认知功能和意识特指症状和体征,R41.800
智能减退,R41.801
头晕和眩晕,R42.x00
嗅觉丧失,R43.000
嗅觉倒错,R43.100
味觉倒错,R43.200
特指嗅觉和味觉障碍,R43.800
嗅觉和味觉障碍,R43.801
幻听,R44.000
幻视,R44.100
特指幻觉,R44.200
幻嗅,R44.201
幻觉,R44.300
累及一般感觉和知觉特指症状和体征,R44.800
累及一般感觉和知觉症状和体征,R44.801
神经质,R45.000
不安和激动,R45.100
不愉快,R45.200
沮丧和情感淡漠,R45.300
急躁和愤怒,R45.400
敌视,R45.500
凶暴,R45.600
情绪冲动和紧张状态,R45.700
累及情绪状态特指症状和体征,R45.800
自杀倾向,R45.801
个人卫生水平极差,R46.000
不正常个人外貌,R46.100
奇怪和令人费解行为,R46.200
过度活动,R46.300
行为迟钝和反应不良,R46.400
多疑和明显逃避,R46.500
对应激事件过分担心和偏见,R46.600
用啰唆和详细叙述语言使交往理由含糊不清,R46.700
累及外貌与行为特指症状和体征,R46.800
失语,R47.000
语言困难,R47.001
命名性失语,R47.002
运动性失语,R47.003
混合性失语,R47.004
构音困难,R47.100
构音不全,R47.101
特指言语障碍,R47.800
言语不清,R47.801
言语障碍,R47.802
诵读困难,R48.000
失读,R48.001
失认,R48.100
失用,R48.200
特指符号识别功能障碍,R48.800
符号识别功能障碍,R48.801
顶叶综合征,R48.802
发声困难,R49.000
声嘶,R49.001
失音,R49.100
鼻音过轻,R49.200
鼻音过重,R49.201
特指语音障碍,R49.800
语音障碍,R49.801
药物性发热,R50.200
特指发热,R50.800
发热,R50.900
夏季热,R50.901
头痛,R51.x00
急性疼痛,R52.000
慢性顽固性疼痛,R52.100
特指慢性疼痛,R52.200
疼痛,R52.900
全身性疼痛,R52.901
不适和疲劳,R53.x00
衰老,R54.x00
老年性震颤,R54.x01
血管迷走神经性晕厥,R55.x00
晕厥和虚脱,R55.x01
发热性惊厥,R56.000
高热惊厥,R56.001
特指惊厥,R56.800
开放性十二指肠破裂,S36.412
开放性空肠破裂,S36.413
开放性回肠破裂,S36.414
结肠损伤,S36.500
创伤性结肠破裂,S36.501
开放性结肠破裂,S36.511
直肠损伤,S36.600
创伤性直肠破裂,S36.601
开放性直肠破裂,S36.611
多个腹内器官损伤,S36.700
创伤性腹内多器官破裂,S36.701
特指腹内器官损伤,S36.800
腹膜损伤,S36.801
肠系膜裂伤,S36.802
创伤性腹膜后血肿,S36.803
开放性特指腹内器官损伤,S36.810
开放性肠系膜血肿,S36.811
开放性肠系膜裂伤,S36.812
开放性腹膜后血肿,S36.813
开放性大网膜破裂,S36.814
腹内器官损伤,S36.900
创伤性肠破裂,S36.901
开放性腹内器官损伤,S36.910
